"source","category_code","category_path","unmapped_products_count"
wolt,Стирка и уборка / Чистящие средства,Стирка и уборка / Чистящие средства,11541
kaspi_nonfood,Cooktops,Cooktops,11535
wolt,Товары для животных / Для кошек,Товары для животных / Для кошек,11471
wolt,"Стирка и уборка / Освежители, ароматизаторы","Стирка и уборка / Освежители, ароматизаторы",11097
kaspi_nonfood,Blenders,Blenders,11033
wolt,Стирка и уборка / Инвентарь для уборки,Стирка и уборка / Инвентарь для уборки,10883
kaspi_nonfood,Boy jeans,Одежда > Мальчикам > Джинсы для мальчиков,10752
wolt,"Чистящие средства / Уборка, Дезинфекция","Чистящие средства / Уборка, Дезинфекция",10640
wolt,"Сладости и снеки / Мед, варенье, паста","Сладости и снеки / Мед, варенье, паста",10472
wolt,Кофе и чай / Растворимые порции,Кофе и чай / Растворимые порции,10395
kaspi_nonfood,Girl national costumes,Одежда > Девочкам > Национальные костюмы для девочек,10321
wolt,Чистящие средства / Бумага и рулоны,Чистящие средства / Бумага и рулоны,9891
wolt,Стирка и уборка / Мытье посуды,Стирка и уборка / Мытье посуды,9651
wolt,СЛАДОСТИ / ШОКОЛАД🍫,СЛАДОСТИ / ШОКОЛАД🍫,9578
kaspi_nonfood,Water filter jugs,Water filter jugs,9450
wolt,ВОДА И НАПИТКИ🥤 / Напитки,ВОДА И НАПИТКИ🥤 / Напитки,9023
wolt,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ🥤 / ВОДА,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ🥤 / ВОДА,8602
kaspi_nonfood,Porcelain tile,Porcelain tile,8601
wolt,ПОСУДА🍽 / КРУЖКИ,ПОСУДА🍽 / КРУЖКИ,8558
wolt,Заморозка / Овощи и фрукты,Заморозка / Овощи и фрукты,8524
wolt,"Дом, дача, авто / Посуда","Дом, дача, авто / Посуда",8506
kaspi_nonfood,Building grout,Building grout,8478
kaspi_nonfood,Refrigerators,Refrigerators,8140
wolt,Дом и офис / Товары для дома,Дом и офис / Товары для дома,8048
arbuz,"224645-zdorovoe_pitanie","224645-zdorovoe_pitanie",7825
wolt,Красота и гигиена / Для тела,Красота и гигиена / Для тела,7811
wolt,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / ЛИКЁР,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / ЛИКЁР,7439
wolt,ЗАМОРОЖЕННЫЕ ПРОДУКТЫ🍤 / Мороженое и лед,ЗАМОРОЖЕННЫЕ ПРОДУКТЫ🍤 / Мороженое и лед,7344
wolt,ТОВАРЫ ДЛЯ БАНИ🧖 / ШАПКИ,ТОВАРЫ ДЛЯ БАНИ🧖 / ШАПКИ,7180
kaspi_nonfood,Girl jumpsuits,Одежда > Девочкам > Комбинезоны для девочек,7113
kaspi_nonfood,Ironing boards,Ironing boards,6826
wolt,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / ДЖИН-ТОНИК,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / ДЖИН-ТОНИК,6605
wolt,"Табачные изделия / Табак, табачные изделия","Табачные изделия / Табак, табачные изделия",6518
wolt,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / РОМ🍹,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / РОМ🍹,6311
wolt,"МАСЛО,СЫР, ЯЙЦА🧈 / Сыры","МАСЛО,СЫР, ЯЙЦА🧈 / Сыры",6140
wolt,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ🥤 / ХОЛОДНЫЙ ЧАЙ,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ🥤 / ХОЛОДНЫЙ ЧАЙ,6044
kaspi_nonfood,Boy national costumes,Одежда > Мальчикам > Национальные костюмы для мальчиков,6012
kaspi_nonfood,Irons,Irons,5965
kaspi_nonfood,Washers,Washers,5965
kaspi_nonfood,Boy jumpsuits,Одежда > Мальчикам > Комбинезоны для мальчиков,5892
wolt,Уходовая косметика / Интимная гигиена,Уходовая косметика / Интимная гигиена,5883
wolt,"Овощи, фрукты, зелень / Фрукты и ягоды","Овощи, фрукты, зелень / Фрукты и ягоды",5825
wolt,"Молоко, яйца / Национальная кухня","Молоко, яйца / Национальная кухня",5815
wolt,"Дом, дача, авто / Сезонные товары","Дом, дача, авто / Сезонные товары",5808
kaspi_nonfood,Ignition aids,Ignition aids,5608
kaspi_nonfood,Men costumes,Одежда > Мужчинам > Мужские карнавальные костюмы,5497
wolt,НАПИТКИ 🥤 / Газировки,НАПИТКИ 🥤 / Газировки,5393
